vcap_sinatra.requests.outstanding,
vcap_sinatra.requests.completed,
vcap_sinatra.http_status.[status_code],
vcap_sinatra.recent_errors,
log_counts.[severity],
cc_user_count,
cc_job_queue_length.[queue_type],
cc_job_queue_length.total,
thread_info.[rest,
thread_info.thread_count,
thread_info.event_machine.connection_count,
thread_info.event_machine.threadqueue.size,
thread_info.event_machine.threadqueue.num_waiting,
thread_info.event_machine.resultqueue.size,
thread_info.event_machine.resultqueue.num_waiting,
cc_failed_job_count.[queue_type],
cc_failed_job_count.total,
uptime_in_seconds,
uptime,
mem_bytes,
mem_used_bytes,
mem_free_bytes,
cpu_load_avg,
cpu,
num_cores,
dea_logging_agent.memoryStats.lastGCPauseTimeNS,
dea_logging_agent.memoryStats.numBytesAllocated,
dea_logging_agent.memoryStats.numBytesAllocatedHeap,
dea_logging_agent.memoryStats.numBytesAllocatedStack,
dea_logging_agent.memoryStats.numFrees,
dea_logging_agent.memoryStats.numMallocs,
dea_logging_agent.numCPUS,
dea_logging_agent.numGoRoutines,
dea_logging_agent.totalApps,
auctioneer.AuctioneerFetchStatesDuration,
auctioneer.AuctioneerLRPAuctionsFailed,
auctioneer.AuctioneerLRPAuctionsStarted,
auctioneer.AuctioneerTaskAuctionsFailed,
auctioneer.AuctioneerTaskAuctionsStarted,
auctioneer.memoryStats.lastGCPauseTimeNS,
auctioneer.memoryStats.numBytesAllocated,
auctioneer.memoryStats.numBytesAllocatedHeap,
auctioneer.memoryStats.numBytesAllocatedStack,
auctioneer.memoryStats.numFrees,
auctioneer.memoryStats.numMallocs,
auctioneer.numCPUS,
auctioneer.numGoRoutines,
bbs.ConvergenceLRPRuns,
bbs.ConvergenceLRPDuration,
bbs.ConvergenceLRPPreProcessingDesiredLRPsDeleted,
bbs.ConvergenceLRPPreProcessingActualLRPsDeleted,
bbs.ConvergenceLRPsDeleted,
bbs.LRPsDesired,
bbs.LRPsStarting,
bbs.LRPsRunning,
bbs.CrashedActualLRPs,
bbs.CrashingDesiredLRPs,
bbs.ETCDLeader,
bbs.ETCDFollowers,
bbs.ETCDReceivedBandwidthRate,
bbs.ETCDSentBandwidthRate,
bbs.ETCDReceivedRequestRate,
bbs.ETCDSentRequestRate,
bbs.ETCDRaftTerm,
bbs.ETCDWatchers,
bbs.ConvergenceTaskRuns,
bbs.ConvergenceTaskDuration,
bbs.ConvergenceTasksKicked,
bbs.ConvergenceTasksPruned,
bbs.TasksPending,
bbs.TasksRunning,
bbs.TasksCompleted,
bbs.TasksResolving,
bbs.RequestLatency,
bbs.RequestCount,
bbs.MetricsReportingDuration,
bbs.BBSMasterElected,
bbs.MigrationDuration,
